,Judet,Localitate
347,Alba,Lupu
348,Alba,Lupulești
349,Alba,Maței
350,Alba,Măcărești
351,Alba,Măghierat
352,Alba,Măgura
353,Alba,Măgura
354,Alba,Măhăceni
355,Alba,Mămăligani
356,Alba,Mănărade
357,Alba,Mănăstire
358,Alba,Măncești
359,Alba,Mărgaia
360,Alba,Mărgineni
361,Alba,Mărinești
362,Alba,Mărtești
363,Alba,Mărtinie
364,Alba,Mătăcina
365,Alba,Mătișești
366,Alba,Mătișești
367,Alba,Medrești
368,Alba,Medveș
369,Alba,Mereteu
370,Alba,Mesentea
371,Alba,Meșcreac
372,Alba,Meteș
373,Alba,Micoșlaca
374,Alba,Mihalț
375,Alba,Mihăiești
376,Alba,Mirăslău
377,Alba,Modolești
378,Alba,Modolești
379,Alba,Mogoș
380,Alba,Morărești
381,Alba,Morărești
382,Alba,Morcănești
383,Alba,Muncelu
384,Alba,Munești
385,Alba,Muntari
386,Alba,Munună
387,Alba,Mușca
388,Alba,Nădăștia
389,Alba,Nămaș
390,Alba,Năpăiești
391,Alba,Necrilești
392,Alba,Necșești
393,Alba,Negești
394,Alba,Negrești
395,Alba,Nelegești
396,Alba,Nemeși
397,Alba,Nicorești
398,Alba,Niculești
399,Alba,Noșlac
400,Alba,Novăcești
401,Alba,Obreja
402,Alba,Ocna Mureș
403,Alba,Ocnișoara
404,Alba,Ocoale
405,Alba,Ocoliș
406,Alba,Odverem
407,Alba,Ohaba
408,Alba,Oidești
409,Alba,Oiejdea
410,Alba,Olteni
411,Alba,Oncești
412,Alba,Orăști
413,Alba,Orgești
414,Alba,Ormeniș
415,Alba,Pădure
416,Alba,Pădurea
417,Alba,Pănade
418,Alba,Păntești
419,Alba,Păștești
420,Alba,Pătrăhăițești
421,Alba,Pătrângeni
422,Alba,Pătrușești
423,Alba,Pătruțești
424,Alba,Pânca
425,Alba,Pârău Gruiului
426,Alba,Pârău lui Mihai
427,Alba,Pârâu-Cărbunări
428,Alba,Peleș
429,Alba,Perjești
430,Alba,Petelei
431,Alba,Petreasa
432,Alba,Petreni
433,Alba,Pețelca
434,Alba,Pianu de Jos
435,Alba,Pianu de Sus
436,Alba,Pirita
437,Alba,Pitărcești
438,Alba,Pițiga
439,Alba,Plai
440,Alba,Plai
441,Alba,Plaiuri
442,Alba,Pleșcuța
443,Alba,Pleșești
444,Alba,Pleși
445,Alba,Pliști
446,Alba,Podu lui Paul
447,Alba,Poduri-Bricești
448,Alba,Poiana
449,Alba,Poiana
450,Alba,Poiana
451,Alba,Poiana Aiudului
452,Alba,Poiana Ampoiului
453,Alba,Poiana Galdei
454,Alba,Poiana Ursului
455,Alba,Poiana Vadului
456,Alba,Poieni
457,Alba,Poieni
458,Alba,Poieni
459,Alba,Poienile-Mogoș
460,Alba,Poienița
461,Alba,Poienița
462,Alba,Poiu
463,Alba,Ponor
464,Alba,Ponorel
465,Alba,Popești
466,Alba,Popeștii de Jos
467,Alba,Popeștii de Sus
468,Alba,Poșaga de Jos
469,Alba,Poșaga de Sus
470,Alba,Poșogani
471,Alba,Potionci
472,Alba,Preluca
473,Alba,Prelucă
474,Alba,Presaca Ampoiului
475,Alba,Puiulețești
476,Alba,Purcăreți
477,Alba,Pușelești
478,Alba,Rachiș
479,Alba,Ravicești
480,Alba,Răcătău
481,Alba,Răchita
482,Alba,Rădești
483,Alba,Răhău
484,Alba,Răicani
485,Alba,Rătitiș
486,Alba,Războieni-Cetate
487,Alba,Râmeț
488,Alba,Reciu
489,Alba,Remetea
490,Alba,Rimetea
491,Alba,Robești
492,Alba,Rogoz
493,Alba,Roșești
494,Alba,Roșia de Secaș
495,Alba,Roșia Montană
496,Alba,Runc
497,Alba,Runc
498,Alba,Runc
499,Alba,Runc
500,Alba,Runcuri
501,Alba,Rusești
502,Alba,Ruși
503,Alba,Sartăș
504,Alba,Săgagea
505,Alba,Sălăgești
506,Alba,Sălciua de Jos
507,Alba,Sălciua de Sus
508,Alba,Săliștea
509,Alba,Săliștea-Deal
510,Alba,Sărăcsău
511,Alba,Săsciori
512,Alba,Sânbenedic
513,Alba,Sâncel
514,Alba,Sâncrai
515,Alba,Sânmiclăuș
